source,prepared_image,caption
training/Shakkoumon vpet vb.png,datasets/vpet_lora/train/00559_Shakkoumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shakkoumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shellmon vpet vb.png,datasets/vpet_lora/train/00560_Shellmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shellmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shinegreymon burst vpet vb.png,datasets/vpet_lora/train/00561_Shinegreymon burst vpet vb.png,"vpet_style, vpet_left_pose, digimon, shinegreymon burst, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shinegreymon vpet vb.png,datasets/vpet_lora/train/00562_Shinegreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shinegreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shinmonzaemon vpet vb.png,datasets/vpet_lora/train/00563_Shinmonzaemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shinmonzaemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shivamon vpet vb.png,datasets/vpet_lora/train/00564_Shivamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shivamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shootmon vpet vb.png,datasets/vpet_lora/train/00565_Shootmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shootmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shoutmon vpet vb.png,datasets/vpet_lora/train/00566_Shoutmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shoutmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shoutmondx vpet vb.png,datasets/vpet_lora/train/00567_Shoutmondx vpet vb.png,"vpet_style, vpet_left_pose, digimon, shoutmondx, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shoutmonx4 vpet vb.png,datasets/vpet_lora/train/00568_Shoutmonx4 vpet vb.png,"vpet_style, vpet_left_pose, digimon, shoutmonx, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shoutmonx7 vpet vb.png,datasets/vpet_lora/train/00569_Shoutmonx7 vpet vb.png,"vpet_style, vpet_left_pose, digimon, shoutmonx, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shroudmon vpet vb.png,datasets/vpet_lora/train/00570_Shroudmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shroudmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shurimon vpet vb.png,datasets/vpet_lora/train/00571_Shurimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shurimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Shutumon vpet vb.png,datasets/vpet_lora/train/00572_Shutumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, shutumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Siesamon vpet vb.png,datasets/vpet_lora/train/00573_Siesamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, siesamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Silphymon vpet vb.png,datasets/vpet_lora/train/00574_Silphymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, silphymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Sinduramon vpet vb.png,datasets/vpet_lora/train/00575_Sinduramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, sinduramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Sirenmon vpet vb.png,datasets/vpet_lora/train/00576_Sirenmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, sirenmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Siriusmon vpet vb.png,datasets/vpet_lora/train/00577_Siriusmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, siriusmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Skullbaluchimon vpet vb.png,datasets/vpet_lora/train/00578_Skullbaluchimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, skullbaluchimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Skullgreymon vpet vb.png,datasets/vpet_lora/train/00579_Skullgreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, skullgreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Skullmammon vpet vb.png,datasets/vpet_lora/train/00580_Skullmammon vpet vb.png,"vpet_style, vpet_left_pose, digimon, skullmammon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Skullsatamon vpet vb.png,datasets/vpet_lora/train/00581_Skullsatamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, skullsatamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Slayerdramon vpet vb.png,datasets/vpet_lora/train/00582_Slayerdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, slayerdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Snatchmon vpet vb.png,datasets/vpet_lora/train/00583_Snatchmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, snatchmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Snimon vpet vb.png,datasets/vpet_lora/train/00584_Snimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, snimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Snowgoburimon vpet vb.png,datasets/vpet_lora/train/00585_Snowgoburimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, snowgoburimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Soloogarmon vpet vb.png,datasets/vpet_lora/train/00586_Soloogarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, soloogarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Spinomon vpet vb.png,datasets/vpet_lora/train/00587_Spinomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, spinomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Splashmon vpet vb.png,datasets/vpet_lora/train/00588_Splashmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, splashmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Starmon vpet vb.png,datasets/vpet_lora/train/00589_Starmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, starmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Stiffilmon vpet vb.png,datasets/vpet_lora/train/00590_Stiffilmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, stiffilmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Stingmon vpet vb.png,datasets/vpet_lora/train/00591_Stingmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, stingmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Strabimon vpet vb.png,datasets/vpet_lora/train/00592_Strabimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, strabimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Strikedramon vpet vb.png,datasets/vpet_lora/train/00593_Strikedramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, strikedramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Submarimon vpet vb.png,datasets/vpet_lora/train/00594_Submarimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, submarimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Sunamon vpet vb.png,datasets/vpet_lora/train/00595_Sunamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, sunamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Sunarizamon vpet vb.png,datasets/vpet_lora/train/00596_Sunarizamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, sunarizamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Sunflowmon vpet vb.png,datasets/vpet_lora/train/00597_Sunflowmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, sunflowmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Superstarmon vpet vb.png,datasets/vpet_lora/train/00598_Superstarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, superstarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Susanoomon vpet vb.png,datasets/vpet_lora/train/00599_Susanoomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, susanoomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Symbareangoramon vpet vb.png,datasets/vpet_lora/train/00600_Symbareangoramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, symbareangoramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tailmon vpet vb.png,datasets/vpet_lora/train/00601_Tailmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tailmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tanemon vpet vb.png,datasets/vpet_lora/train/00602_Tanemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tanemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tankdramon vpet vb.png,datasets/vpet_lora/train/00603_Tankdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tankdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Taomon vpet vb.png,datasets/vpet_lora/train/00604_Taomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, taomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tempomon vpet vb.png,datasets/vpet_lora/train/00605_Tempomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tempomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tenkomon vpet alysion.png,datasets/vpet_lora/train/00606_Tenkomon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, tenkomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tentomon vpet vb.png,datasets/vpet_lora/train/00607_Tentomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tentomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Terriermon vpet vb.png,datasets/vpet_lora/train/00608_Terriermon vpet vb.png,"vpet_style, vpet_left_pose, digimon, terriermon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Teslajellymon vpet vb.png,datasets/vpet_lora/train/00609_Teslajellymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, teslajellymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Thetismon vpet vb.png,datasets/vpet_lora/train/00610_Thetismon vpet vb.png,"vpet_style, vpet_left_pose, digimon, thetismon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Thunderballmon vpet vb.png,datasets/vpet_lora/train/00611_Thunderballmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, thunderballmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Thunderbirmon vpet vb.png,datasets/vpet_lora/train/00612_Thunderbirmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, thunderbirmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tialudomon vpet vb.png,datasets/vpet_lora/train/00613_Tialudomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tialudomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tigervespamon vpet vb.png,datasets/vpet_lora/train/00614_Tigervespamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tigervespamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tinkermon vpet vb.png,datasets/vpet_lora/train/00615_Tinkermon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tinkermon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tinpet vpet vb.png,datasets/vpet_lora/train/00616_Tinpet vpet vb.png,"vpet_style, vpet_left_pose, digimon, tinpet, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tobiumon vpet vb.png,datasets/vpet_lora/train/00617_Tobiumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tobiumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Togemon vpet vb.png,datasets/vpet_lora/train/00618_Togemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, togemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tonosamamamemon raid vpet vb.png,datasets/vpet_lora/train/00619_Tonosamamamemon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, tonosamamamemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Toropiamon vpet vb.png,datasets/vpet_lora/train/00620_Toropiamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, toropiamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tortamon vpet vb.png,datasets/vpet_lora/train/00621_Tortamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tortamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Triceramon vpet vb.png,datasets/vpet_lora/train/00622_Triceramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, triceramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tsubumon vpet vb.png,datasets/vpet_lora/train/00623_Tsubumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tsubumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tukaimon vpet alysion.png,datasets/vpet_lora/train/00624_Tukaimon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, tukaimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tunomon vpet vb.png,datasets/vpet_lora/train/00625_Tunomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tunomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Turuiemon vpet vb.png,datasets/vpet_lora/train/00626_Turuiemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, turuiemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tyilinmon vpet vb.png,datasets/vpet_lora/train/00627_Tyilinmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tyilinmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tyranomon vpet vb.png,datasets/vpet_lora/train/00628_Tyranomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tyranomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Tyrantkabuterimon vpet vb.png,datasets/vpet_lora/train/00629_Tyrantkabuterimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, tyrantkabuterimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ukkomon vpet vb.png,datasets/vpet_lora/train/00630_Ukkomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ukkomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ulforcevdramon vpet vb.png,datasets/vpet_lora/train/00631_Ulforcevdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ulforcevdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ultimatebrachimon vpet vb.png,datasets/vpet_lora/train/00632_Ultimatebrachimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ultimatebrachimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Upamon vpet vb.png,datasets/vpet_lora/train/00633_Upamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, upamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vajramon vpet vb.png,datasets/vpet_lora/train/00634_Vajramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vajramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Valkyrimon vpet vb.png,datasets/vpet_lora/train/00635_Valkyrimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, valkyrimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Valvemon vpet vb.png,datasets/vpet_lora/train/00636_Valvemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, valvemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vamdemon vpet vb.png,datasets/vpet_lora/train/00637_Vamdemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vamdemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vdramon vpet vb.png,datasets/vpet_lora/train/00638_Vdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vegimon vpet vb.png,datasets/vpet_lora/train/00639_Vegimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vegimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Velgrmon vpet vb.png,datasets/vpet_lora/train/00640_Velgrmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, velgrmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Venomvamdemon raid vpet vb.png,datasets/vpet_lora/train/00641_Venomvamdemon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, venomvamdemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vermillimon vpet vb.png,datasets/vpet_lora/train/00642_Vermillimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vermillimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Victorygreymon vpet vb.png,datasets/vpet_lora/train/00643_Victorygreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, victorygreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vikaralamon vpet vb.png,datasets/vpet_lora/train/00644_Vikaralamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vikaralamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vikemon vpet vb.png,datasets/vpet_lora/train/00645_Vikemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vikemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vmon vpet vb.png,datasets/vpet_lora/train/00646_Vmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Volcamon vpet vb.png,datasets/vpet_lora/train/00647_Volcamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, volcamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Volcanicdramon vpet vb.png,datasets/vpet_lora/train/00648_Volcanicdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, volcanicdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vorvomon vpet vb.png,datasets/vpet_lora/train/00649_Vorvomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vorvomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vritramon vpet vb.png,datasets/vpet_lora/train/00650_Vritramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vritramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Vulturemon vpet vb.png,datasets/vpet_lora/train/00651_Vulturemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, vulturemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wanyamon vpet vb.png,datasets/vpet_lora/train/00652_Wanyamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wanyamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wargreymon vpet vb.png,datasets/vpet_lora/train/00653_Wargreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wargreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Warumonzaemon vpet vb.png,datasets/vpet_lora/train/00654_Warumonzaemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, warumonzaemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Waruseadramon vpet vb.png,datasets/vpet_lora/train/00655_Waruseadramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, waruseadramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Waspmon vpet vb.png,datasets/vpet_lora/train/00656_Waspmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, waspmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wendimon vpet vb.png,datasets/vpet_lora/train/00657_Wendimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wendimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Weregarurumon black vpet vb.png,datasets/vpet_lora/train/00658_Weregarurumon black vpet vb.png,"vpet_style, vpet_left_pose, digimon, weregarurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Weregarurumon sagittarius vpet vb.png,datasets/vpet_lora/train/00659_Weregarurumon sagittarius vpet vb.png,"vpet_style, vpet_left_pose, digimon, weregarurumon sagittarius, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Weregarurumon vpet vb.png,datasets/vpet_lora/train/00660_Weregarurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, weregarurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wezengammamon vpet vb.png,datasets/vpet_lora/train/00661_Wezengammamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wezengammamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Whamon perfect vpet vb.png,datasets/vpet_lora/train/00662_Whamon perfect vpet vb.png,"vpet_style, vpet_left_pose, digimon, whamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wingdramon vpet vb.png,datasets/vpet_lora/train/00663_Wingdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wingdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wisemon vpet vb.png,datasets/vpet_lora/train/00664_Wisemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wisemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wizarmon vpet vb.png,datasets/vpet_lora/train/00665_Wizarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wizarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Wormmon vpet vb.png,datasets/vpet_lora/train/00666_Wormmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, wormmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Xiangpengmon vpet vb.png,datasets/vpet_lora/train/00667_Xiangpengmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, xiangpengmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Xiquemon vpet vb.png,datasets/vpet_lora/train/00668_Xiquemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, xiquemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Xvmon vpet vb.png,datasets/vpet_lora/train/00669_Xvmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, xvmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yaegerdorulumon vpet vb.png,datasets/vpet_lora/train/00670_Yaegerdorulumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, yaegerdorulumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yarmon vpet vb.png,datasets/vpet_lora/train/00671_Yarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, yarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yatagaramon2006 vpet vb.png,datasets/vpet_lora/train/00672_Yatagaramon2006 vpet vb.png,"vpet_style, vpet_left_pose, digimon, yatagaramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Youkomon vpet vb.png,datasets/vpet_lora/train/00673_Youkomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, youkomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yukidarumon vpet vb.png,datasets/vpet_lora/train/00674_Yukidarumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, yukidarumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yukimibotamon vpet vb.png,datasets/vpet_lora/train/00675_Yukimibotamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, yukimibotamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yukinamon vpet alysion.png,datasets/vpet_lora/train/00676_Yukinamon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, yukinamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Yuramon vpet vb.png,datasets/vpet_lora/train/00677_Yuramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, yuramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zamielmon vpet vb.png,datasets/vpet_lora/train/00678_Zamielmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zamielmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zanbamon vpet vb.png,datasets/vpet_lora/train/00679_Zanbamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zanbamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zanmetsumon vpet vb.png,datasets/vpet_lora/train/00680_Zanmetsumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zanmetsumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zassoumon vpet vb.png,datasets/vpet_lora/train/00681_Zassoumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zassoumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zdgarurumon vpet vb.png,datasets/vpet_lora/train/00682_Zdgarurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zdgarurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zekegreymon vpet vb.png,datasets/vpet_lora/train/00683_Zekegreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zekegreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Zerimon vpet vb.png,datasets/vpet_lora/train/00684_Zerimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, zerimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
